Image,Label
/home/bruno/Desktop/ML_EX2/Data/train/2/0201.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0042.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1045.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1259.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1482.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1062.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0014.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0295.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0243.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1149.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1041.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1289.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0084.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0294.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1497.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0866.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0882.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0064.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0779.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0706.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0272.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0978.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0917.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1463.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1190.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0138.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1451.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0488.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0996.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0667.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1240.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0945.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0115.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0568.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0740.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1362.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0702.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1460.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0714.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1397.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0149.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1345.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1196.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0415.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/1114.png,2
/home/bruno/Desktop/ML_EX2/Data/train/2/0762.png,2
